iter	Logloss
0	0.6783796928
1	0.6650041443
2	0.653702321
3	0.6469237541
4	0.6374273071
5	0.6317423498
6	0.6262009717
7	0.6211785214
8	0.6167143731
9	0.610797183
10	0.6074016899
11	0.6034701506
12	0.6003811939
13	0.5978171768
14	0.5955676763
15	0.5934229967
16	0.5909602224
17	0.5890462479
18	0.586174227
19	0.5844128209
20	0.5829439586
21	0.581883718
22	0.5804785885
23	0.5782527047
24	0.5771940087
25	0.5755210622
26	0.5744631422
27	0.5736837719
28	0.572029281
29	0.5714231401
30	0.5707886256
31	0.5696745359
32	0.5689210245
33	0.5676856383
34	0.5668767506
35	0.5663395084
36	0.5657284838
37	0.565225886
38	0.5647885194
39	0.5640575535
40	0.5635306505
41	0.5629761007
42	0.5624779025
43	0.5617001451
44	0.5613917946
45	0.5610238083
46	0.560680791
47	0.5602492248
48	0.5599203036
49	0.5595878952
50	0.5593551411
51	0.5590760486
52	0.5587267303
53	0.5583655073
54	0.5581513949
55	0.557876445
56	0.5575727698
57	0.5572769266
58	0.5570203031
59	0.5568111265
60	0.5566075354
61	0.556493047
62	0.5563646234
63	0.5558507118
64	0.5554216253
65	0.5552106217
66	0.5550414286
67	0.5549052703
68	0.5547322163
69	0.5545208169
70	0.5543316262
71	0.5541621948
72	0.5539963615
73	0.5537456549
74	0.5535527507
75	0.5533453808
76	0.5531590385
77	0.5530058332
78	0.5528628423
79	0.5526912193
80	0.552537005
81	0.5523822944
82	0.5521208799
83	0.5519871355
84	0.5518450843
85	0.5516676399
86	0.5514913012
87	0.5513349754
88	0.551141233
89	0.5509686299
90	0.5507353415
91	0.5505054403
92	0.5502992435
93	0.5501432633
94	0.5499554561
95	0.5498002641
96	0.549644673
97	0.5494926613
98	0.5493658522
99	0.5492191937
100	0.549057753
101	0.5489270463
102	0.5487817724
103	0.5486364469
104	0.5485200257
105	0.5483650681
106	0.5482293001
107	0.5480873311
108	0.5479639731
109	0.5478309721
110	0.5477264059
111	0.5475810678
112	0.5473434446
