iter	Passed	Remaining
0	22	22709
1	54	27431
2	88	29506
3	116	29084
4	148	29531
5	183	30434
6	218	30966
7	245	30434
8	276	30424
9	304	30182
10	335	30155
11	373	30773
12	403	30615
13	441	31127
14	474	31175
15	508	31263
16	549	31764
17	590	32228
18	631	32598
19	669	32803
20	704	32823
21	737	32791
22	769	32707
23	801	32594
24	834	32541
25	868	32536
26	899	32405
27	929	32269
28	956	32013
29	986	31886
30	1010	31591
31	1036	31367
32	1062	31119
33	1089	30947
34	1115	30763
35	1144	30652
36	1172	30521
37	1201	30413
38	1229	30307
39	1262	30288
40	1287	30125
41	1313	29961
42	1342	29879
43	1370	29767
44	1397	29668
45	1427	29610
46	1452	29456
47	1481	29388
48	1509	29299
49	1535	29181
50	1563	29091
51	1593	29049
52	1618	28920
53	1645	28829
54	1668	28675
55	1697	28621
56	1722	28488
57	1747	28386
58	1776	28332
59	1811	28385
60	1838	28305
61	1864	28214
62	1897	28216
63	1934	28290
64	1970	28344
65	2009	28441
66	2045	28488
67	2081	28526
68	2118	28585
69	2158	28679
70	2191	28673
71	2221	28638
72	2254	28635
73	2283	28580
74	2315	28561
75	2355	28636
76	2385	28593
77	2415	28551
78	2454	28613
79	2487	28611
80	2514	28524
81	2539	28433
82	2567	28371
83	2598	28332
84	2626	28271
85	2655	28219
86	2683	28158
87	2712	28114
88	2738	28031
89	2765	27967
90	2794	27917
91	2825	27886
92	2855	27852
93	2887	27835
94	2920	27823
95	2950	27780
96	2981	27757
97	3011	27717
98	3042	27691
99	3071	27645
100	3108	27664
101	3141	27659
102	3166	27573
103	3194	27521
104	3223	27478
105	3258	27485
106	3291	27466
107	3321	27431
108	3354	27419
109	3386	27395
110	3416	27360
111	3448	27343
112	3480	27321
113	3512	27301
114	3547	27299
115	3581	27292
116	3613	27272
117	3642	27226
118	3677	27224
119	3709	27201
120	3740	27176
121	3778	27189
122	3813	27189
123	3845	27168
124	3882	27174
125	3913	27146
126	3944	27116
127	3974	27078
128	4008	27067
129	4044	27068
130	4075	27038
131	4109	27024
132	4141	26996
133	4175	26985
134	4207	26960
135	4240	26942
136	4273	26919
137	4306	26903
138	4339	26881
139	4371	26856
140	4405	26840
141	4444	26856
142	4476	26824
143	4509	26806
144	4544	26795
145	4576	26770
146	4607	26737
147	4640	26712
148	4672	26688
149	4706	26668
150	4744	26674
151	4780	26667
152	4815	26656
153	4850	26645
154	4884	26625
155	4919	26614
156	4950	26582
157	4981	26548
158	5010	26500
159	5042	26474
160	5072	26435
161	5106	26414
162	5136	26373
163	5165	26333
164	5198	26309
165	5236	26306
166	5267	26272
167	5296	26229
168	5333	26225
169	5367	26203
170	5398	26171
171	5433	26155
172	5464	26121
173	5496	26092
174	5528	26062
175	5561	26038
176	5592	26004
177	5624	25974
178	5659	25958
179	5692	25930
180	5728	25922
181	5763	25904
182	5795	25874
183	5826	25839
184	5861	25822
185	5895	25799
186	5931	25788
187	5960	25743
188	5996	25730
189	6034	25727
190	6070	25712
191	6112	25723
192	6149	25713
193	6188	25712
194	6231	25725
195	6262	25688
196	6299	25677
197	6338	25675
198	6376	25668
199	6423	25693
200	6464	25698
201	6499	25675
202	6539	25673
203	6576	25661
204	6609	25633
205	6643	25606
206	6676	25576
207	6715	25571
208	6752	25554
