,QaA,QbA,QcA,QdA,QeA,QfA,QgA,QhA,QiA,QjA,QkA,QlA,QmA,QnA,QoA,QpA,QqA,QrA,QsA,QtA,education,married,wr_01,wr_02,wr_03,wr_04,wr_05,wr_06,wr_07,wr_08,wr_09,wr_10,wr_11,wr_12,wr_13,QaE_new,QbE_new,QcE_new,QdE_new,QeE_new,QfE_new,QgE_new,QhE_new,QiE_new,QjE_new,QkE_new,QlE_new,QmE_new,QnE_new,QoE_new,QpE_new,QqE_new,QrE_new,QsE_new,QtE_new,wr_new,age_10s,age4,race_white,QtotalE,Mach_score,mach_per,Asian,Black,Other,White,tp_score
0,3,2,3,5,4,2,1,2,2,2,1,3,3,1,3,4,3,2,1,2,2,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,1,2,2,0,0,0,1,1,2.45,0,0,0,0,1,2.6
1,3,2,3,3,2,5,4,1,1,3,1,5,3,5,2,3,2,1,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,2,1,1,0,1,2,1,1,1,0,1,1,0,0,0,0,0,1,2.8,1,0,0,1,0,3.0
2,3,2,4,4,4,4,5,1,4,4,2,5,4,4,5,3,3,2,3,5,3,2,0,1,0,0,1,0,1,1,0,1,0,1,1,1,2,0,0,1,1,1,1,2,0,2,1,0,1,1,2,1,2,1,1,0,0,1,0,1,3.55,1,0,0,1,0,4.5
3,5,1,5,4,1,5,5,1,5,1,3,5,4,5,2,4,1,5,4,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,0,0,0,1,2,2,1,2,1,1,0,3,1,1,3.35,1,0,0,0,1,0.4
4,4,1,5,4,4,4,1,1,4,3,1,4,2,2,2,4,3,2,4,3,2,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,2,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,2,0,0,0,1,1,2.9,1,0,0,0,1,4.2
5,4,1,4,4,2,4,4,1,1,4,1,5,5,3,5,3,3,1,4,2,4,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,2,2,1,1,1,1,0,1,2,1,1,2,2,2,1,1,0,0,1,0,1,3.05,1,1,0,0,0,1.5
6,5,5,4,5,3,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,2,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,4.7,2,1,0,0,0,2.5
7,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,4,4,3,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,4.8,2,1,0,0,0,1.6
8,4,4,5,5,3,4,2,1,4,5,2,3,4,4,4,4,4,3,4,5,4,2,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,3.7,1,0,0,0,1,1.7
9,5,5,5,5,5,5,5,3,5,4,4,5,1,5,5,4,4,1,5,5,2,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,2,1,2,1,1,2,1,2,1,1,1,1,2,1,1,0,0,2,0,1,4.3,2,0,0,1,0,3.1
10,5,1,4,5,5,4,5,1,4,4,4,4,4,3,3,5,4,4,3,5,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,3.85,1,0,0,0,1,1.4
11,5,5,5,1,5,1,1,5,1,4,1,5,4,1,2,4,4,2,3,5,4,1,0,1,0,1,1,0,1,1,0,1,0,1,1,2,1,2,1,2,1,1,1,1,2,1,1,2,1,2,1,2,1,2,1,0,0,0,0,1,3.2,1,1,0,0,0,1.3
12,5,5,5,5,5,5,5,4,4,4,1,5,4,2,5,2,3,1,5,4,3,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,2,2,1,1,1,1,2,1,1,2,2,2,1,0,0,1,0,1,3.95,1,0,0,1,0,2.7
13,4,4,5,5,4,4,2,2,5,5,4,5,2,3,4,2,2,4,5,4,3,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3.75,1,0,0,0,1,3.6
14,2,4,5,5,5,4,2,1,2,2,1,5,4,2,2,2,2,1,3,1,3,2,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,2,0,0,1,1,2,1,1,0,1,0,1,1,0,1,0,1,2.75,1,0,0,1,0,2.3
15,5,3,4,5,1,5,5,2,5,3,5,5,5,5,4,4,5,4,5,3,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,2,1,0,2,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,0,0,0,1,1,4.15,2,0,0,0,1,3.1
16,4,4,2,3,3,1,1,4,1,1,1,5,5,1,5,5,3,3,4,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,2,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,2.85,1,0,0,1,0,1.2
17,3,1,4,3,4,2,2,1,5,2,1,5,2,2,2,1,2,1,2,1,3,2,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,0,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2,1,0,1,1,1,2.3,0,0,0,0,1,2.0
18,4,4,5,5,1,5,5,4,5,5,5,5,3,5,4,5,5,5,5,5,3,1,1,1,0,1,1,0,1,1,0,1,0,1,1,2,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,1,0,0,0,0,1,1,1,4.5,2,0,0,0,1,1.8
19,5,5,3,5,5,5,4,1,4,5,3,5,5,5,4,5,5,1,1,5,3,3,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,2,0,1,1,1,0,1,2,1,1,2,1,1,1,0,2,1,1,0,0,1,1,1,4.05,2,0,0,0,1,3.5
20,2,4,2,4,4,2,1,1,2,2,1,2,5,1,2,2,2,2,2,2,3,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,2,1,1,0,1,2,1,0,0,0,2,1,0,1,0,1,2.25,0,1,0,0,0,0.6
21,3,3,5,4,1,3,3,2,3,5,1,4,2,4,5,4,3,3,3,4,2,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,2,2,1,1,1,0,1,2,0,1,2,1,1,0,0,0,0,1,1,1,3.25,1,0,0,0,1,2.9
22,2,1,4,4,4,1,2,4,1,2,1,5,2,1,4,1,2,1,4,1,3,2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,2,1,1,2.35,0,0,0,0,1,2.0
23,4,5,4,5,4,4,4,1,3,4,2,5,4,2,4,4,3,4,5,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,3.75,1,0,0,0,1,2.3
24,4,3,4,4,4,1,2,2,1,2,1,1,2,1,2,3,2,2,4,1,2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,2,2,0,1,1,1,1,0,0,1,1,2.3,0,0,0,0,1,1.7
25,2,5,5,4,4,4,4,2,1,4,2,5,2,2,4,4,2,5,4,5,3,2,1,1,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,0,3,1,1,3.5,1,0,0,0,1,3.6
26,5,2,3,5,4,5,4,4,5,3,3,5,4,5,2,4,4,5,5,5,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,2,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,4.1,2,0,0,0,1,2.9
27,5,5,5,5,5,4,5,5,5,5,4,5,5,4,4,5,5,5,5,5,2,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,4.8,2,0,0,0,1,1.3
28,5,2,3,2,5,5,4,1,3,4,1,4,4,2,4,1,2,2,2,1,2,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2.85,1,0,0,0,1,3.0
29,3,1,1,3,5,3,3,1,1,1,3,5,3,3,3,1,4,3,1,1,2,2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,2,2,1,1,0,0,2,1,0,2,0,1,1,1,0,1,0,3,1,1,2.45,0,0,0,0,1,2.4
30,5,4,4,5,4,5,5,4,4,4,1,2,2,5,4,2,5,4,2,4,2,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,2,1,1,1,1,2,1,1,2,1,1,0,0,1,1,1,3.75,1,0,0,0,1,2.8
31,4,4,2,2,2,4,1,3,2,1,1,5,1,4,3,2,3,4,2,1,2,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,2,2,0,2,0,0,0,0,1,1,2.55,0,0,0,0,1,2.8
32,5,4,5,4,1,5,2,1,2,5,2,5,2,5,4,2,2,5,5,5,3,2,1,1,0,1,1,0,1,1,0,1,1,1,1,2,1,0,1,2,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,2,1,1,3.55,1,0,0,0,1,0.9
33,1,1,2,5,1,1,1,1,1,1,1,5,1,2,1,1,1,1,1,1,4,1,1,1,0,1,1,1,1,1,0,1,0,1,1,2,2,2,1,0,2,2,1,1,1,0,2,1,2,1,2,1,0,1,2,0,0,1,0,1,1.5,0,1,0,0,0,1.8
34,5,5,5,5,1,5,5,5,1,1,5,5,5,5,1,5,5,5,1,5,3,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,2,0,0,1,0,1,1,1,0,0,1,1,4.0,2,0,0,0,1,2.8
