,education,married,wr_01,wr_06,wr_new,age_10s,age4,race_white,Mach_score,mach_per,tp_score
0,2,1,0,0,0,0,0,1,2.45,0,2.6
1,2,1,0,0,0,0,0,0,2.8,1,3
2,3,2,0,0,0,0,1,0,3.55,1,4.5
3,4,2,1,1,1,0,3,1,3.35,1,0.4
4,2,1,1,0,0,0,0,1,2.9,1,4.2
5,4,1,1,0,0,0,1,0,3.05,1,1.5
6,2,1,1,0,1,0,0,0,4.7,2,2.5
7,3,1,1,1,1,0,1,0,4.8,2,1.6
8,4,2,1,1,0,0,1,1,3.7,1,1.7
9,2,1,1,0,0,0,2,0,4.3,2,3.1
10,3,1,0,1,1,0,1,1,3.85,1,1.4
11,4,1,0,0,0,0,0,0,3.2,1,1.3
12,3,1,1,0,0,0,1,0,3.95,1,2.7
13,3,1,1,0,0,0,0,1,3.75,1,3.6
14,3,2,1,1,1,0,1,0,2.75,1,2.3
15,1,1,1,0,0,0,0,1,4.15,2,3.1
16,2,1,0,0,0,0,0,0,2.85,1,1.2
17,3,2,1,1,1,0,1,1,2.3,0,2
18,3,1,1,0,0,0,1,1,4.5,2,1.8
19,3,3,1,0,0,0,1,1,4.05,2,3.5
20,3,1,1,1,1,0,1,0,2.25,0,0.6
21,2,1,1,0,0,0,1,1,3.25,1,2.9
22,3,2,1,1,1,0,2,1,2.35,0,2
23,4,2,1,1,1,0,1,1,3.75,1,2.3
24,2,1,1,1,1,0,0,1,2.3,0,1.7
25,3,2,1,1,1,0,3,1,3.5,1,3.6
26,1,1,1,0,0,0,0,1,4.1,2,2.9
27,2,1,1,0,0,0,1,1,4.8,2,1.3
28,2,2,1,1,1,0,1,1,2.85,1,3
29,2,2,1,1,1,0,3,1,2.45,0,2.4
30,2,1,1,0,0,0,1,1,3.75,1,2.8
31,2,1,1,0,0,0,0,1,2.55,0,2.8
32,3,2,1,0,0,0,2,1,3.55,1,0.9
33,4,1,1,1,0,0,1,0,1.5,0,1.8
34,3,1,1,1,1,0,0,1,4,2,2.8
35,4,2,1,0,0,0,3,1,4.1,2,2.1
36,4,2,1,1,1,0,2,1,3.45,1,3
37,4,1,0,0,0,0,1,0,3.8,1,2.3
38,3,1,1,1,0,0,1,1,3.65,1,3
39,4,1,0,0,0,0,1,1,3.85,1,1.6
40,3,1,0,0,0,0,1,1,3.5,1,3.2
41,2,1,1,0,0,0,0,0,4.95,2,3.3
42,2,1,0,0,0,0,0,0,2.55,0,2.5
43,3,1,0,0,0,0,1,0,2.55,0,2.3
44,1,1,0,0,0,0,0,1,2.7,0,2.6
45,3,3,1,0,0,0,2,1,3.45,1,2.1
46,2,1,1,0,0,0,0,1,4.3,2,2.3
47,1,1,0,0,0,0,0,1,2.2,0,2.2
48,2,1,1,0,0,0,1,1,2.2,0,2.6
49,2,1,0,0,0,0,0,0,3.8,1,3.4
50,3,3,1,1,1,0,3,1,2.75,1,1.8
51,2,1,1,0,0,0,0,0,4.65,2,4.8
52,3,1,1,1,0,0,1,1,2.1,0,3.3
53,2,1,0,0,0,0,0,1,3.7,1,3.5
54,1,1,1,0,0,0,0,0,4.2,2,2
55,2,2,1,0,0,0,1,0,4.6,2,3.7
56,3,1,1,0,1,0,1,0,4.45,2,3.1
57,2,1,1,0,0,0,2,1,4.05,2,4.3
58,2,1,1,0,0,0,0,0,2.4,0,2.4
59,3,1,1,1,1,0,2,1,2.35,0,1.1
60,1,1,0,0,0,0,0,0,2.35,0,1.2
61,2,1,1,0,0,0,1,1,2.8,1,3
62,2,1,1,0,0,0,1,1,2.65,0,3
63,4,3,1,1,1,0,1,0,3.35,1,1.3
64,3,1,1,1,1,0,2,1,2.5,0,1.7
65,2,1,1,0,0,0,0,1,2.35,0,2
66,3,3,1,0,1,0,1,1,3.35,1,1.3
67,2,2,1,0,0,0,2,1,1.5,0,0
68,2,2,1,0,0,0,1,1,3.95,1,3
69,2,2,0,0,0,0,2,0,4.55,2,2.3
70,3,2,0,0,1,0,2,1,4.05,2,2.8
71,3,1,1,0,1,0,1,0,2.9,1,2.8
72,3,1,1,1,1,0,1,1,4.4,2,0.8
73,2,1,1,1,1,0,0,0,3.1,1,3
74,2,1,1,0,0,0,0,0,4.1,2,4.3
75,3,1,0,0,0,0,1,0,2.45,0,1.4
76,3,1,0,0,1,0,1,0,3.4,1,3.1
77,3,3,1,0,1,0,2,1,1.5,0,1.1
78,2,1,0,1,0,0,1,0,3.8,1,2
79,3,1,1,1,1,0,2,1,3.35,1,2.2
80,1,1,1,0,0,0,0,0,4.05,2,3.9
81,3,1,0,1,0,0,1,0,2.6,0,2
82,3,1,1,0,1,0,1,1,3.35,1,3.7
83,3,3,1,0,0,0,2,1,4.15,2,2
84,2,1,1,0,0,0,0,1,3.4,1,3.5
85,3,1,1,1,1,0,1,1,4.8,2,3.2
86,2,1,1,0,0,0,0,1,4.75,2,2.2
87,4,1,1,0,0,0,1,1,2.6,0,2.1
88,4,1,1,1,1,0,1,1,2.9,1,1.5
89,2,1,1,0,0,0,0,1,3.55,1,3.7
90,1,1,0,0,0,0,0,1,3.45,1,2.1
91,4,1,0,0,0,0,1,1,3.35,1,2.2
92,4,2,1,1,1,0,1,1,4.65,2,1.8
93,4,2,1,0,0,0,2,1,3.15,1,2.2
94,2,1,1,1,1,0,1,0,4.45,2,3.2
95,2,1,1,0,0,0,0,1,4.85,2,2.8
96,2,3,1,0,1,0,2,1,4.3,2,2.7
97,2,1,0,0,0,0,0,0,2.55,0,3
98,3,1,1,0,0,0,1,0,3.3,1,2.6
99,3,1,1,0,0,0,1,0,3,1,2.1
100,3,2,1,0,1,0,2,1,3.95,1,2
101,3,1,1,0,0,0,1,1,4.1,2,2.4
102,2,1,0,1,1,0,0,1,3.25,1,3.2
103,3,3,1,0,0,0,2,1,3.75,1,0.9
104,3,2,1,0,0,0,2,1,2.9,1,2.3
105,3,1,1,0,0,0,1,1,3.5,1,2.5
106,3,2,1,0,1,0,2,1,4.8,2,3.2
107,2,1,0,0,0,0,1,0,4.15,2,1.8
108,2,1,1,0,0,0,0,1,4.4,2,1.9
109,3,3,1,1,1,0,2,1,1.6,0,1.7
110,2,1,1,0,0,0,1,0,2.6,0,2.7
111,3,2,1,0,0,0,1,1,2.6,0,1.8
112,2,1,0,0,0,0,0,1,4.1,2,2.4
113,2,1,1,0,0,0,0,1,5,2,1.9
114,2,1,0,0,0,0,0,1,4.8,2,3
115,1,1,0,0,0,0,0,1,4.75,2,3.5
116,4,1,1,1,1,0,1,1,3.25,1,3.8
117,4,2,1,0,0,0,2,1,1.45,0,2.7
118,4,2,1,1,1,0,2,1,4.25,2,2.5
119,2,2,1,1,1,0,2,1,1.95,0,3.9
120,4,3,1,1,1,0,2,1,3.4,1,3.4
121,3,1,0,0,0,0,1,0,2.55,0,2.5
122,1,1,1,0,0,0,0,0,3.4,1,3.3
123,4,2,1,1,1,0,1,1,3.1,1,2.6
124,3,2,1,0,0,0,1,1,4.7,2,3.1
125,2,1,1,0,0,0,1,0,3.25,1,2
126,1,1,0,0,0,0,0,1,3.55,1,1.6
127,2,1,1,1,0,0,0,1,4.4,2,3.1
128,1,1,1,0,0,0,0,1,4.15,2,4.2
129,2,3,0,0,0,0,2,0,3.35,1,0.8
130,2,2,1,0,0,0,2,1,2.75,1,2.9
131,4,2,0,0,0,0,1,0,2.3,0,1.2
132,4,2,1,0,0,0,2,1,2.05,0,2
133,3,1,0,0,0,0,0,0,4.3,2,2.7
134,1,1,1,0,0,0,0,0,2.3,0,3.7
135,1,1,0,0,0,0,0,0,2.3,0,1.4
136,4,2,1,0,0,0,1,1,2.95,1,1.1
137,2,1,1,0,0,0,0,0,3.9,1,3.2
138,3,2,0,1,0,0,1,1,1.55,0,1.4
139,1,1,0,0,0,0,0,1,3.6,1,2.2
140,2,1,1,0,0,0,1,0,3.35,1,2.6
141,2,1,1,0,0,0,0,0,4.35,2,0.9
142,4,2,1,0,0,0,1,1,2.95,1,1.4
143,3,1,1,0,0,0,1,1,2.45,0,2.1
144,2,1,1,1,1,0,1,1,3.7,1,3.3
145,2,2,1,1,1,0,1,1,3.85,1,2.4
146,4,2,0,0,0,0,1,0,4.05,2,2
147,3,2,0,0,0,0,1,1,3.35,1,2
148,2,1,1,0,0,0,1,1,3.7,1,1.6
149,3,1,0,0,0,0,1,0,3.8,1,2.5
150,3,1,1,1,1,0,1,1,3.95,1,1.7
151,3,3,1,0,1,0,2,1,4,2,3.1
152,2,1,1,0,0,0,0,1,3.65,1,1.1
153,3,1,1,0,0,0,1,0,4.25,2,3.7
154,4,3,1,0,0,0,1,0,3.45,1,1.2
155,3,1,0,0,0,0,1,0,4.05,2,2.1
156,2,1,0,0,0,0,0,0,3.85,1,2.8
157,2,1,1,0,0,0,1,1,3.6,1,2.9
158,1,1,1,0,0,0,0,1,4.75,2,4.4
159,2,1,0,0,0,0,1,1,4.35,2,2.2
160,2,1,0,0,0,0,0,1,3.55,1,2.7
161,3,1,1,0,0,0,1,1,3.95,1,3.4
162,3,1,1,1,1,0,1,1,4.3,2,3.6
163,2,1,0,0,0,0,2,1,2.7,0,2.4
164,2,1,0,1,1,0,0,1,4.05,2,1.9
165,3,1,0,1,0,0,1,0,3,1,2.4
166,4,2,1,1,0,0,1,0,3.6,1,2.3
167,2,1,1,0,1,0,0,0,3.2,1,3.7
168,3,1,1,0,0,0,1,1,4.45,2,3.4
169,1,1,0,0,0,0,0,0,3,1,2.6
170,1,1,1,0,0,0,0,0,4.55,2,2.6
171,3,1,1,0,0,0,1,1,1.75,0,3.1
172,3,1,0,0,0,0,1,1,3.05,1,0.8
173,2,1,0,0,0,0,0,1,3.35,1,1.4
174,2,1,1,0,0,0,0,1,2.75,1,2.6
175,2,1,1,0,0,0,0,1,3.55,1,2.8
176,2,1,0,0,0,0,0,1,4.1,2,4.4
177,2,1,1,0,0,0,1,1,3.05,1,1.7
178,4,2,1,1,1,0,3,1,2.4,0,0.9
179,1,1,1,0,0,0,0,1,2.3,0,0.7
180,1,1,1,0,0,0,0,0,3.15,1,1.5
181,2,1,1,1,1,0,1,1,2.95,1,3.5
182,1,1,1,0,0,0,0,1,2.05,0,1.1
183,3,1,0,1,0,0,1,1,3.2,1,2.9
184,3,3,0,0,0,0,2,1,2.25,0,1.2
185,4,1,1,0,1,0,1,0,2.85,1,3.2
186,3,1,1,0,0,0,1,0,4.7,2,3.1
187,2,1,0,0,0,0,0,1,3.4,1,1.9
188,2,1,1,0,0,0,0,1,3.95,1,2.7
189,3,1,1,0,0,0,1,0,3.8,1,3.1
190,2,1,1,0,0,0,1,0,3.15,1,2.9
191,2,1,1,1,0,0,0,1,4,2,2.2
192,2,1,1,1,0,0,0,1,2.8,1,2.8
193,3,3,0,0,0,0,2,1,1.5,0,1.7
194,2,1,0,1,1,0,1,1,2.95,1,3.6
195,4,2,1,0,0,0,1,1,2.55,0,2.2
196,2,2,1,0,1,0,2,1,3.3,1,0.7
197,3,2,0,0,0,0,2,1,2.1,0,1.8
198,4,3,0,0,0,0,1,1,3.7,1,2.1
199,3,1,1,0,0,0,1,0,3.35,1,3
200,3,1,1,1,1,0,1,1,2.7,0,3.1
201,2,1,1,0,0,0,1,1,3.8,1,2.5
202,3,1,0,0,0,0,1,1,3.45,1,2.4
203,3,2,1,0,0,0,1,1,4.2,2,1.4
204,1,1,0,0,0,0,0,1,2.6,0,2.5
205,4,2,1,1,1,0,3,1,1.7,0,1.7
206,4,1,1,0,0,0,1,1,3.1,1,1.1
207,3,2,1,1,1,0,2,0,3.55,1,2.2
208,4,2,1,0,0,0,2,1,3.45,1,2.1
209,2,1,1,0,0,0,0,1,3.4,1,3.4
210,1,1,1,0,0,0,0,0,2.6,0,1.9
211,4,2,0,0,0,0,1,0,3,1,2
212,4,2,1,0,0,0,2,1,2.2,0,2.5
213,1,1,1,0,0,0,0,0,2.65,0,3.4
214,3,2,1,0,0,0,1,0,2.35,0,2.2
215,2,2,1,0,1,0,2,1,4.35,2,3.5
216,2,1,1,1,1,0,0,1,4.65,2,2.7
217,2,2,0,0,0,0,2,1,1.9,0,0.8
218,4,2,1,1,1,0,1,1,3.45,1,2.2
219,3,2,1,0,1,0,2,1,3.2,1,2.6
220,2,1,1,0,0,0,2,1,2.9,1,1.8
221,1,1,1,1,1,0,2,1,2.9,1,2
222,2,1,1,0,0,0,0,1,4.7,2,3.9
223,2,2,0,0,0,0,2,1,2.1,0,1.4
224,2,1,1,1,1,0,1,1,3.5,1,2
225,3,1,1,1,1,0,1,1,2.4,0,1.7
226,2,1,1,0,0,0,2,1,3.15,1,2.1
227,1,1,1,0,0,0,0,0,4.65,2,4.6
228,3,1,1,0,0,0,1,0,3.05,1,2.2
229,3,1,1,0,0,0,1,1,3.05,1,3
230,3,1,0,1,1,0,1,1,3.15,1,1.9
231,4,3,1,0,0,0,2,1,2.5,0,2.1
232,4,2,1,0,1,0,2,0,3,1,2.9
233,2,1,0,0,0,0,0,1,4.5,2,2.7
234,1,1,1,0,0,0,0,0,3.85,1,3.1
235,2,1,1,0,1,0,0,1,3.6,1,2.5
236,1,1,1,0,0,0,0,1,4.25,2,3.7
237,2,1,1,0,0,0,0,1,4.75,2,3.1
238,2,1,1,0,0,0,0,1,3.2,1,2.9
239,3,1,1,1,1,0,1,1,4.15,2,2.6
240,2,1,0,1,0,0,0,1,4.4,2,1.7
241,2,1,1,0,0,0,1,1,3.2,1,2.4
242,3,2,1,1,1,0,1,1,2.1,0,2.3
243,2,1,1,1,0,0,0,1,2.55,0,1.1
244,3,1,1,0,0,0,1,1,3.95,1,1.4
245,3,1,0,0,0,0,1,1,4.25,2,2.6
246,3,1,1,0,1,0,1,1,3.4,1,1.5
247,2,1,1,0,0,0,1,0,4.7,2,2.7
248,2,2,0,0,0,0,2,1,2.35,0,2.4
249,2,1,0,0,0,0,0,1,3,1,3.2
250,2,1,1,0,0,0,0,1,5,2,3.7
251,3,2,0,0,0,0,1,0,3.1,1,1.6
252,2,1,1,1,1,0,1,1,3,1,3.7
