,education,married,voted,wr_01,wr_06,wr_new,age_10s,age4,race_white,Mach_score,mach_per,tp_score
0,2,3,2,0,0,0,0,1,1,2,1,3.6
1,4,1,2,0,0,0,0,1,0,2,0,2.4
2,3,2,1,1,0,0,0,1,1,1,0,1.8
3,4,1,1,0,0,0,0,1,0,3,1,2.2
4,3,2,1,1,1,1,0,1,1,3,1,1.3
5,2,3,2,0,0,0,0,2,1,2,0,3.1
6,2,1,1,1,1,1,0,1,1,2,0,2.3
7,2,1,1,1,1,1,0,1,1,3,1,2.2
8,4,1,1,0,0,0,0,1,0,3,1,3
9,3,1,1,1,0,0,0,2,1,1,0,1.7
10,4,1,2,0,0,0,0,1,0,3,1,1.8
11,2,1,1,0,0,0,1,0,1,4,2,2.6
12,3,1,2,1,0,0,1,0,0,3,1,2.4
13,3,1,1,0,0,0,0,1,0,2,0,2.8
14,3,3,1,0,0,0,0,3,1,4,2,2.8
15,4,2,1,1,0,0,0,1,1,3,1,3.1
16,2,2,2,1,0,0,0,1,1,3,1,3.3
17,2,1,2,1,0,0,1,0,0,3,1,3.6
18,4,1,2,1,1,1,0,1,1,3,1,3.5
19,2,2,2,1,0,0,0,1,1,3,1,3.8
20,4,1,2,1,0,0,0,1,0,3,1,3.2
21,4,2,1,1,0,0,0,2,0,3,1,2.5
22,2,1,2,0,0,0,1,0,1,2,1,2.2
23,3,2,2,1,0,0,0,1,1,2,0,2.2
24,3,2,1,1,1,0,0,2,1,2,0,1.1
25,4,3,1,1,0,0,0,1,1,2,0,1.9
26,3,3,1,1,0,0,0,2,1,3,1,3.3
27,2,1,2,1,0,0,1,0,0,4,2,2.5
28,3,2,2,1,0,0,0,1,0,4,2,1.8
29,3,2,2,1,0,1,0,2,1,3,1,3
30,2,1,2,1,0,1,1,0,1,3,1,1.4
31,1,1,1,1,0,0,1,0,1,2,0,0.6
32,2,1,2,1,0,0,1,0,0,3,1,3.6
33,3,1,1,1,0,0,0,2,1,4,2,2.6
34,3,1,2,1,1,0,0,1,0,3,1,1.9
35,3,1,1,1,1,1,0,1,1,2,1,2.8
36,3,2,2,1,0,0,0,2,0,3,1,3.1
37,3,1,1,0,0,0,0,1,1,2,0,1.1
38,3,1,1,1,1,1,0,1,0,4,2,2.5
39,2,1,2,0,0,0,0,1,1,1,0,4.1
40,3,1,2,0,0,0,0,1,0,3,1,2.7
41,2,1,2,1,0,0,1,0,0,3,1,2.4
42,2,1,1,1,0,1,0,1,0,3,1,2.2
43,3,1,1,1,0,0,0,1,1,2,1,2.9
44,3,3,1,1,0,0,0,1,1,2,0,2.5
45,2,1,1,0,1,0,0,1,0,2,0,2.2
46,2,1,1,1,0,0,0,1,0,3,1,1.6
47,4,2,2,0,0,0,0,2,1,2,1,0.9
48,2,1,1,1,0,0,0,1,1,4,2,3.3
49,3,2,2,0,0,0,0,1,1,3,2,2.2
50,4,3,2,1,1,1,0,3,1,2,1,2.5
51,4,2,1,1,1,1,0,2,1,3,1,1.8
52,2,1,2,0,0,0,1,0,0,4,2,3.7
53,3,1,1,1,0,0,0,1,1,3,1,1.7
54,3,1,2,1,1,0,0,1,0,2,0,1.5
55,3,2,1,1,0,0,0,2,1,3,2,0.7
56,4,2,1,1,0,1,0,2,1,2,1,2.1
57,2,2,2,1,1,1,0,1,1,3,1,2.7
58,2,3,1,1,0,1,0,2,0,3,1,3.5
59,1,1,2,0,0,0,1,0,1,3,1,3
60,3,1,2,1,0,0,0,1,0,4,2,3.2
61,2,1,1,1,0,0,0,1,1,3,1,3.2
62,2,1,1,0,0,0,0,1,1,3,2,3.8
63,4,1,1,1,1,1,0,3,1,2,0,3.5
64,2,1,2,1,0,0,1,0,1,4,2,3
65,2,2,2,1,0,0,0,1,1,2,0,2.7
66,3,2,1,1,0,1,0,1,1,3,1,1.5
67,3,2,1,0,0,0,0,2,0,1,0,1.2
68,2,1,2,1,1,1,1,0,1,4,2,3.7
69,2,3,1,1,0,0,0,3,1,2,0,3.1
70,4,2,1,1,0,0,0,3,0,2,0,2.3
71,3,2,1,0,1,1,0,2,1,2,0,1.1
72,4,2,1,1,1,1,0,1,1,2,1,3.3
73,4,1,2,1,0,0,0,1,1,3,1,2.5
74,4,3,1,1,1,1,0,2,1,3,1,4.6
75,3,1,2,0,1,1,1,0,0,3,1,1.3
76,2,1,1,1,0,0,0,1,1,3,1,1.6
77,3,1,2,0,0,0,0,1,1,3,1,3.1
78,1,1,2,0,0,0,1,0,1,3,1,3.2
79,3,1,1,1,1,1,0,1,1,3,1,0.7
80,2,1,2,1,0,0,0,1,1,3,1,2.5
81,4,1,2,1,1,1,0,1,1,2,1,1
82,2,1,1,1,0,1,1,0,1,2,0,3
83,2,1,2,1,0,0,0,1,0,4,2,2.9
84,2,1,2,1,0,0,1,0,0,3,1,3.3
85,2,1,1,1,0,0,1,0,0,3,1,3.4
86,2,1,1,1,1,1,0,1,1,2,1,2.3
87,1,1,2,0,0,0,1,0,0,3,1,3.2
88,3,1,2,1,1,0,0,1,1,3,1,1.7
89,3,1,2,1,0,0,0,1,1,2,1,4.7
90,1,1,2,1,0,0,1,0,0,3,1,4
91,3,1,1,1,0,0,0,2,1,2,0,2.4
92,4,2,1,0,1,1,0,2,0,2,0,1.1
93,2,1,2,0,0,0,1,0,1,3,1,3
94,2,1,2,1,0,0,1,0,0,4,2,2.9
95,2,2,1,0,0,0,0,1,1,4,2,3.3
96,3,2,1,1,0,0,0,1,1,4,2,3
97,3,1,1,1,1,1,0,1,1,1,0,2.2
98,4,2,1,0,0,0,0,1,1,3,1,2.8
99,1,1,2,0,0,0,1,0,1,3,1,2.7
100,3,1,2,1,0,0,0,1,1,4,2,2.4
101,2,2,1,0,0,0,0,1,1,2,0,1.8
102,3,1,2,1,0,0,0,1,0,3,1,2
103,2,1,2,0,0,0,1,0,0,3,1,3.2
104,3,1,1,1,1,1,0,1,1,3,1,3.4
105,4,2,2,1,0,0,0,2,1,3,1,2
106,1,1,2,1,1,1,1,0,1,3,1,4
107,2,1,2,1,1,1,1,0,1,5,2,3.8
108,3,1,2,1,1,0,1,0,1,3,1,2.1
109,2,1,1,1,0,0,0,1,0,1,0,1
110,2,1,1,1,0,0,0,1,1,2,0,3.4
111,2,2,1,1,0,0,0,2,1,2,0,2.2
112,3,1,1,1,1,1,0,1,1,3,1,1.7
113,1,1,2,1,0,0,1,0,0,2,0,2.2
114,4,2,2,0,0,0,0,1,0,4,2,3.5
115,3,1,1,1,0,0,0,1,0,4,2,2.3
116,4,3,1,0,0,0,0,1,0,3,1,1.9
117,3,1,2,1,0,0,0,1,1,2,0,3
118,2,3,2,1,1,0,0,2,1,3,1,2.9
119,2,1,2,1,0,0,1,0,1,4,2,2.9
120,3,2,1,1,0,0,0,1,1,4,2,2.4
121,2,1,2,1,0,0,1,0,1,2,0,2
122,2,1,2,1,1,1,1,0,1,4,2,2.9
123,3,3,1,0,1,0,0,2,1,3,1,2.9
124,4,2,2,0,0,1,0,2,1,2,0,1.4
125,3,1,1,1,1,1,0,1,0,5,2,1.9
126,2,2,1,0,1,0,1,0,0,3,1,3.2
127,3,2,2,0,0,0,0,1,1,2,0,1.8
128,3,1,1,0,1,0,0,1,0,2,0,1.5
129,1,1,2,1,0,0,1,0,1,3,1,3.5
130,3,1,2,0,0,0,0,1,0,4,2,2.4
131,3,1,2,0,0,0,0,2,0,4,2,2.4
132,3,2,1,1,0,0,0,2,1,3,1,2.1
133,3,2,1,1,1,1,0,3,1,3,1,2.2
134,2,1,2,1,0,0,1,0,0,4,2,2.8
135,1,1,2,1,0,0,1,0,1,2,1,2
136,2,1,2,1,0,1,1,0,1,3,1,2.3
137,3,3,1,1,0,0,0,2,1,2,0,2
138,2,1,2,1,0,1,0,2,1,3,1,2.7
139,4,1,2,1,1,1,0,2,1,3,2,1.7
140,4,1,1,0,0,0,0,1,0,2,0,0.8
141,2,1,2,1,0,1,1,0,0,3,1,3.4
142,3,2,1,1,0,1,0,2,1,2,1,1.7
143,3,1,1,1,0,0,0,1,0,3,1,2.4
144,4,2,1,1,0,0,0,2,0,2,0,1.2
145,2,1,2,1,1,1,1,0,0,3,1,1.9
